"participantID","vignette_id","condition","topic","PartnerTrust","PartnerReal","ConversationMyself","ConversationSharing","AttentionCheck","Belief_AI_Human"
"S028","romantic1","Human","Romantic",5,5,1,1,NA,66
"S028","romantic2","AI","Romantic",7,5,6,6,"Everyday / Trivial",-82
"S028","trivial1","Human","Trivial",6,6,7,6,NA,68
"S028","trivial2","AI","Trivial",2,1,1,1,NA,-100
"S049","mental1","AI","Mental",3,2,2,4,"Mental Health",26
"S049","mental2","Human","Mental",5,5,3,5,NA,-99
"S049","romantic1","Human","Romantic",3,1,1,1,"Everyday / Trivial",71
"S049","romantic2","AI","Romantic",4,6,5,2,NA,75
"S049","trivial1","Human","Trivial",4,2,1,1,NA,-83
"S049","trivial2","AI","Trivial",4,2,3,5,NA,-100
"S047","mental1","Human","Mental",4,2,7,4,"Mental Health",29
"S047","mental2","AI","Mental",4,3,6,3,NA,57
"S047","romantic1","AI","Romantic",5,4,4,3,NA,50
"S047","romantic2","Human","Romantic",4,4,7,4,NA,-97
"S047","trivial1","AI","Trivial",3,1,3,3,"Romantic",-50
"S047","trivial2","Human","Trivial",5,4,5,4,NA,-100
"S119","mental1","Human","Mental",5,3,1,5,NA,23
"S119","mental2","AI","Mental",5,2,1,2,NA,-71
"S119","romantic1","AI","Romantic",5,1,5,5,NA,-55
"S119","romantic2","Human","Romantic",6,6,7,7,"Everyday / Trivial",-33
"S119","trivial1","Human","Trivial",5,1,1,1,NA,72
"S119","trivial2","AI","Trivial",3,2,2,3,"Mental Health",25
"S068","mental1","Human","Mental",6,1,7,2,NA,50
"S068","mental2","AI","Mental",2,1,5,2,"Romantic",-100
"S068","romantic1","AI","Romantic",2,2,6,2,NA,-52
"S068","romantic2","Human","Romantic",2,1,4,1,NA,-53
"S068","trivial1","AI","Trivial",4,2,6,3,"Mental Health",-100
"S068","trivial2","Human","Trivial",6,1,7,1,NA,-78
"S124","mental1","AI","Mental",2,1,1,1,NA,-70
"S124","mental2","Human","Mental",4,2,2,1,"Mental Health",13
"S124","romantic1","AI","Romantic",3,3,1,1,"Mental Health",32
"S124","romantic2","Human","Romantic",5,4,2,2,NA,-33
"S124","trivial1","AI","Trivial",1,1,1,1,NA,-100
"S124","trivial2","Human","Trivial",4,4,1,1,NA,-42
"S076","mental1","AI","Mental",4,3,2,2,NA,100
"S076","mental2","Human","Mental",4,4,2,2,NA,100
"S076","romantic1","AI","Romantic",4,3,5,3,NA,-100
"S076","romantic2","Human","Romantic",4,3,5,3,"Mental Health",-100
"S076","trivial1","AI","Trivial",4,3,4,2,"Romantic",-100
"S076","trivial2","Human","Trivial",7,5,7,6,NA,100
"S037","mental1","Human","Mental",5,4,6,5,"Romantic",-39
"S037","mental2","AI","Mental",4,2,4,2,NA,-21
"S037","romantic1","Human","Romantic",4,2,4,3,"Mental Health",47
"S037","romantic2","AI","Romantic",5,4,5,5,NA,-27
"S037","trivial1","Human","Trivial",4,3,5,3,NA,-96
"S037","trivial2","AI","Trivial",5,4,5,4,NA,-97
"S051","mental1","Human","Mental",5,2,5,4,"Everyday / Trivial",-100
"S051","mental2","AI","Mental",5,2,5,4,NA,-100
"S051","romantic1","AI","Romantic",5,3,5,4,NA,-100
"S051","romantic2","Human","Romantic",5,3,5,4,NA,-100
"S051","trivial1","Human","Trivial",5,1,6,4,"Mental Health",-60
"S051","trivial2","AI","Trivial",6,5,5,4,NA,-70
"S004","mental1","AI","Mental",1,2,3,3,"Romantic",-100
"S004","mental2","Human","Mental",3,2,1,1,NA,-100
"S004","romantic1","AI","Romantic",6,3,4,5,"Mental Health",47
"S004","romantic2","Human","Romantic",2,2,1,1,NA,-100
"S004","trivial1","Human","Trivial",4,6,4,4,NA,-100
"S004","trivial2","AI","Trivial",1,1,1,1,NA,64
"S040","mental1","AI","Mental",5,6,5,6,NA,-50
"S040","mental2","Human","Mental",2,2,2,2,NA,-16
"S040","romantic1","Human","Romantic",4,3,4,3,NA,82
"S040","romantic2","AI","Romantic",3,4,4,3,"Romantic",-70
"S040","trivial1","Human","Trivial",2,4,2,2,"Romantic",-53
"S040","trivial2","AI","Trivial",4,4,5,4,NA,-40
"S062","mental1","Human","Mental",6,6,6,6,NA,-100
"S062","mental2","AI","Mental",2,2,2,1,"Mental Health",-75
"S062","romantic1","AI","Romantic",3,3,2,2,NA,-100
"S062","romantic2","Human","Romantic",1,1,1,1,NA,45
"S062","trivial1","Human","Trivial",3,3,3,3,"Romantic",45
"S062","trivial2","AI","Trivial",5,5,6,5,NA,50
"S038","mental1","AI","Mental",2,4,1,2,NA,-37
"S038","mental2","Human","Mental",3,3,2,2,"Mental Health",14
"S038","romantic1","AI","Romantic",5,4,6,2,NA,-78
"S038","romantic2","Human","Romantic",3,2,3,4,NA,-17
"S038","trivial1","AI","Trivial",4,4,4,2,NA,-61
"S038","trivial2","Human","Trivial",4,2,4,2,"Mental Health",31
"S021","mental1","Human","Mental",6,3,1,5,NA,-50
"S021","mental2","AI","Mental",5,5,5,5,NA,50
"S021","romantic1","AI","Romantic",3,3,3,2,"Romantic",-50
"S021","romantic2","Human","Romantic",6,6,6,6,"Everyday / Trivial",50
"S021","trivial1","Human","Trivial",5,6,1,5,NA,50
"S021","trivial2","AI","Trivial",6,6,6,6,NA,80
"S086","mental1","Human","Mental",1,1,3,1,NA,-72
"S086","mental2","AI","Mental",1,1,4,1,NA,-90
"S086","romantic1","Human","Romantic",1,1,4,1,NA,-59
"S086","romantic2","AI","Romantic",1,1,4,1,NA,-61
"S086","trivial1","AI","Trivial",1,1,4,1,"Romantic",-76
"S086","trivial2","Human","Trivial",1,1,1,1,"Mental Health",-100
"S107","mental1","Human","Mental",7,7,7,7,NA,70
"S107","mental2","AI","Mental",7,7,7,7,NA,-70
"S107","romantic1","AI","Romantic",6,6,6,6,NA,-70
"S107","romantic2","Human","Romantic",7,7,7,7,NA,-60
"S107","trivial1","Human","Trivial",6,6,6,6,"Mental Health",-75
"S107","trivial2","AI","Trivial",6,6,6,6,"Romantic",70
"S136","mental1","AI","Mental",2,2,4,3,NA,-100
"S136","mental2","Human","Mental",4,2,4,3,NA,75
"S136","romantic1","AI","Romantic",4,6,5,5,"Mental Health",-100
"S136","romantic2","Human","Romantic",3,3,5,2,NA,70
"S136","trivial1","Human","Trivial",3,5,6,2,NA,-80
"S136","trivial2","AI","Trivial",2,2,3,2,"Romantic",-100
"S105","mental1","AI","Mental",2,2,2,2,NA,-100
"S105","mental2","Human","Mental",2,2,2,2,"Everyday / Trivial",-100
"S105","romantic1","Human","Romantic",2,2,2,2,NA,-100
"S105","romantic2","AI","Romantic",2,2,2,2,NA,-100
"S105","trivial1","AI","Trivial",2,2,2,2,"Romantic",-100
"S105","trivial2","Human","Trivial",3,3,2,2,NA,-100
"S069","mental1","Human","Mental",5,5,6,5,NA,-100
"S069","mental2","AI","Mental",6,6,6,6,NA,100
"S069","romantic1","AI","Romantic",6,7,6,7,NA,100
"S069","romantic2","Human","Romantic",6,5,5,4,"Everyday / Trivial",-100
"S069","trivial1","AI","Trivial",5,4,5,4,"Mental Health",-100
"S069","trivial2","Human","Trivial",3,3,3,2,NA,-100
"S121","mental1","AI","Mental",2,5,7,2,"Everyday / Trivial",-17
"S121","mental2","Human","Mental",1,1,7,2,NA,-100
"S121","romantic1","AI","Romantic",2,4,7,1,"Romantic",-100
"S121","romantic2","Human","Romantic",2,3,7,2,NA,-100
"S121","trivial1","AI","Trivial",2,5,7,2,NA,-100
"S121","trivial2","Human","Trivial",2,4,7,2,NA,-100
"S116","mental1","AI","Mental",3,1,5,2,NA,-100
"S116","mental2","Human","Mental",1,1,1,1,NA,-100
"S116","romantic1","Human","Romantic",6,1,7,2,"Everyday / Trivial",-100
"S116","romantic2","AI","Romantic",7,7,7,6,"Mental Health",100
"S116","trivial1","Human","Trivial",4,3,6,2,NA,-100
"S116","trivial2","AI","Trivial",4,1,7,3,NA,100
"S072","mental1","Human","Mental",4,2,2,2,NA,-87
"S072","mental2","AI","Mental",1,1,1,1,"Romantic",-38
"S072","romantic1","AI","Romantic",1,3,1,1,NA,-100
"S072","romantic2","Human","Romantic",4,1,2,1,NA,-100
"S072","trivial1","Human","Trivial",2,1,1,4,NA,-100
"S072","trivial2","AI","Trivial",1,1,1,1,"Mental Health",100
"S109","mental1","AI","Mental",3,3,3,3,"Romantic",-61
"S109","mental2","Human","Mental",4,3,3,3,NA,-23
"S109","romantic1","AI","Romantic",3,3,2,2,NA,-20
"S109","romantic2","Human","Romantic",5,5,4,4,"Mental Health",-23
"S109","trivial1","Human","Trivial",5,4,3,3,NA,-48
"S109","trivial2","AI","Trivial",5,5,5,5,NA,15
"S050","mental1","AI","Mental",4,2,5,3,"Everyday / Trivial",-22
"S050","mental2","Human","Mental",4,4,5,4,"Mental Health",30
"S050","romantic1","Human","Romantic",4,3,4,3,NA,-66
"S050","romantic2","AI","Romantic",3,2,5,5,NA,-81
"S050","trivial1","Human","Trivial",4,3,6,5,NA,-46
"S050","trivial2","AI","Trivial",3,2,3,2,NA,-88
"S104","mental1","Human","Mental",1,1,1,1,NA,-66
"S104","mental2","AI","Mental",3,2,2,2,"Mental Health",-83
"S104","romantic1","AI","Romantic",3,1,4,4,NA,-20
"S104","romantic2","Human","Romantic",3,2,2,3,NA,-44
"S104","trivial1","Human","Trivial",3,2,2,2,"Mental Health",-100
"S104","trivial2","AI","Trivial",4,1,4,3,NA,-79
"S131","mental1","AI","Mental",5,3,6,4,NA,-87
"S131","mental2","Human","Mental",4,5,3,5,NA,-80
"S131","romantic1","Human","Romantic",2,3,2,2,NA,-67
"S131","romantic2","AI","Romantic",4,3,3,3,"Romantic",-86
"S131","trivial1","AI","Trivial",4,4,3,3,"Mental Health",-82
"S131","trivial2","Human","Trivial",5,6,3,5,NA,-86
"S035","mental1","Human","Mental",2,1,3,1,NA,-49
"S035","mental2","AI","Mental",3,2,4,1,NA,-48
"S035","romantic1","Human","Romantic",3,3,2,3,"Romantic",-61
"S035","romantic2","AI","Romantic",3,1,2,1,NA,28
"S035","trivial1","Human","Trivial",3,2,3,2,NA,32
"S035","trivial2","AI","Trivial",4,2,2,1,"Romantic",34
"S052","mental1","Human","Mental",4,5,2,2,NA,-39
"S052","mental2","AI","Mental",3,2,4,4,"Mental Health",-73
"S052","romantic1","Human","Romantic",1,1,2,2,NA,31
"S052","romantic2","AI","Romantic",1,1,2,2,"Mental Health",-61
"S052","trivial1","AI","Trivial",2,2,2,2,NA,-100
"S052","trivial2","Human","Trivial",1,1,1,1,NA,-100
"S081","mental1","Human","Mental",1,1,1,1,NA,9
"S081","mental2","AI","Mental",2,1,3,1,NA,-100
"S081","romantic1","AI","Romantic",1,1,1,1,"Romantic",-100
"S081","romantic2","Human","Romantic",1,1,5,1,"Mental Health",-58
"S081","trivial1","Human","Trivial",1,1,1,1,NA,-100
"S081","trivial2","AI","Trivial",1,1,1,1,NA,-100
"S036","mental1","Human","Mental",7,7,7,7,NA,77
"S036","mental2","AI","Mental",5,5,1,4,NA,60
"S036","romantic1","Human","Romantic",3,3,3,3,NA,100
"S036","romantic2","AI","Romantic",7,7,7,7,NA,-95
"S036","trivial1","AI","Trivial",1,1,1,1,"Mental Health",62
"S036","trivial2","Human","Trivial",3,5,2,2,"Romantic",-79
"S063","mental1","Human","Mental",1,3,3,1,"Everyday / Trivial",-100
"S063","mental2","AI","Mental",1,5,2,1,NA,-100
"S063","romantic1","AI","Romantic",1,2,2,1,NA,100
"S063","romantic2","Human","Romantic",6,6,5,1,"Mental Health",-100
"S063","trivial1","Human","Trivial",1,1,2,1,NA,-93
"S063","trivial2","AI","Trivial",1,2,3,2,NA,100
"S015","mental1","AI","Mental",1,1,1,1,"Everyday / Trivial",100
"S015","mental2","Human","Mental",4,1,1,1,NA,100
"S015","romantic1","Human","Romantic",7,7,7,7,NA,-100
"S015","romantic2","AI","Romantic",7,7,7,6,"Everyday / Trivial",-100
"S015","trivial1","Human","Trivial",6,7,1,5,NA,-100
"S015","trivial2","AI","Trivial",7,7,1,6,NA,-100
"S092","mental1","Human","Mental",1,1,2,1,"Romantic",23
"S092","mental2","AI","Mental",5,2,6,5,NA,-21
"S092","romantic1","AI","Romantic",5,2,5,4,NA,-89
"S092","romantic2","Human","Romantic",3,3,5,1,NA,41
"S092","trivial1","AI","Trivial",2,3,5,1,NA,-94
"S092","trivial2","Human","Trivial",1,2,1,1,"Mental Health",12
"S048","mental1","AI","Mental",4,5,2,4,NA,-95
"S048","mental2","Human","Mental",2,1,3,1,NA,56
"S048","romantic1","Human","Romantic",1,1,1,1,"Romantic",41
"S048","romantic2","AI","Romantic",2,2,4,1,"Everyday / Trivial",-100
"S048","trivial1","AI","Trivial",3,2,4,1,NA,-100
"S048","trivial2","Human","Trivial",4,3,4,4,NA,-23
"S100","mental1","Human","Mental",1,2,1,1,NA,25
"S100","mental2","AI","Mental",3,1,4,4,NA,-100
"S100","romantic1","Human","Romantic",4,4,7,4,NA,-10
"S100","romantic2","AI","Romantic",3,4,6,3,"Romantic",-100
"S100","trivial1","Human","Trivial",1,3,1,1,NA,-100
"S100","trivial2","AI","Trivial",1,2,1,1,"I don't remember",-95
"S094","mental1","Human","Mental",5,5,7,2,NA,36
"S094","mental2","AI","Mental",4,2,7,3,NA,-41
"S094","romantic1","Human","Romantic",2,2,7,2,NA,-50
"S094","romantic2","AI","Romantic",5,6,6,4,"Mental Health",37
"S094","trivial1","AI","Trivial",6,6,7,6,NA,66
"S094","trivial2","Human","Trivial",4,2,3,2,"Romantic",40
"S011","mental1","Human","Mental",2,1,1,1,NA,-100
"S011","mental2","AI","Mental",1,1,1,1,NA,37
"S011","romantic1","Human","Romantic",1,1,1,1,"Mental Health",-17
"S011","romantic2","AI","Romantic",1,1,1,1,NA,-21
"S011","trivial1","AI","Trivial",3,4,3,2,"Romantic",-100
"S011","trivial2","Human","Trivial",5,4,1,5,NA,-100
"S130","mental1","AI","Mental",6,6,6,6,NA,-30
"S130","mental2","Human","Mental",5,5,3,4,"Romantic",26
"S130","romantic1","AI","Romantic",4,6,3,4,"Romantic",52
"S130","romantic2","Human","Romantic",4,4,3,3,NA,23
"S130","trivial1","AI","Trivial",6,5,2,3,NA,-49
"S130","trivial2","Human","Trivial",5,6,3,4,NA,-56
"S020","mental1","Human","Mental",5,5,5,5,NA,-98
"S020","mental2","AI","Mental",4,5,5,5,NA,-100
"S020","romantic1","AI","Romantic",4,4,4,4,"Mental Health",100
"S020","romantic2","Human","Romantic",5,5,4,4,NA,100
"S020","trivial1","Human","Trivial",4,4,4,4,NA,-92
"S020","trivial2","AI","Trivial",4,4,4,3,"Mental Health",-94
"S134","mental1","Human","Mental",6,7,6,5,NA,54
"S134","mental2","AI","Mental",4,4,4,2,NA,97
"S134","romantic1","Human","Romantic",3,3,1,1,NA,-56
"S134","romantic2","AI","Romantic",1,1,1,1,"Romantic",50
"S134","trivial1","Human","Trivial",3,4,4,1,NA,-50
"S134","trivial2","AI","Trivial",7,7,5,4,"Mental Health",-97
"S054","mental1","AI","Mental",1,1,7,1,"Romantic",-100
"S054","mental2","Human","Mental",4,7,7,6,NA,100
"S054","romantic1","AI","Romantic",6,6,7,7,"Romantic",-78
"S054","romantic2","Human","Romantic",6,2,6,3,NA,76
"S054","trivial1","AI","Trivial",3,1,7,2,NA,-100
"S054","trivial2","Human","Trivial",5,1,7,1,NA,-100
"S033","mental1","AI","Mental",4,4,5,5,"Mental Health",-10
"S033","mental2","Human","Mental",5,3,5,5,NA,-59
"S033","romantic1","AI","Romantic",3,2,2,2,NA,-83
"S033","romantic2","Human","Romantic",3,4,4,4,NA,-70
"S033","trivial1","Human","Trivial",4,4,5,4,"Everyday / Trivial",-36
"S033","trivial2","AI","Trivial",5,6,6,6,NA,-86
"S077","mental1","AI","Mental",3,3,4,2,NA,-75
"S077","mental2","Human","Mental",1,1,1,1,NA,-55
"S077","romantic1","Human","Romantic",1,1,3,1,NA,60
"S077","romantic2","AI","Romantic",4,5,5,3,"Romantic",-100
"S077","trivial1","AI","Trivial",2,1,2,2,"Mental Health",-100
"S077","trivial2","Human","Trivial",4,1,3,2,NA,-80
"S096","mental1","Human","Mental",2,2,1,1,NA,-27
"S096","mental2","AI","Mental",6,6,5,3,"Everyday / Trivial",-82
"S096","romantic1","Human","Romantic",3,1,1,1,NA,-21
"S096","romantic2","AI","Romantic",2,2,1,1,NA,-9
"S096","trivial1","AI","Trivial",1,1,1,1,"Mental Health",-100
"S096","trivial2","Human","Trivial",2,1,1,2,NA,75
"S006","mental1","AI","Mental",7,7,7,7,"Mental Health",-100
"S006","mental2","Human","Mental",5,3,6,5,NA,-100
