"participantID","vignette_id","condition","topic","PartnerTrust","PartnerReal","ConversationMyself","ConversationSharing","AttentionCheck","Belief_AI_Human"
"S085","trivial2","AI","Trivial",4,4,4,1,NA,-100
"S070","mental1","Human","Mental",2,1,1,1,NA,11
"S070","mental2","AI","Mental",2,2,4,2,NA,-77
"S070","romantic1","AI","Romantic",3,3,2,4,"Everyday / Trivial",-25
"S070","romantic2","Human","Romantic",2,2,1,1,NA,-25
"S070","trivial1","Human","Trivial",4,3,2,4,"Everyday / Trivial",-35
"S070","trivial2","AI","Trivial",3,3,4,2,NA,-21
"S128","mental1","AI","Mental",3,3,3,4,NA,-53
"S128","mental2","Human","Mental",3,3,5,4,"Mental Health",-54
"S128","romantic1","AI","Romantic",3,3,4,5,"Mental Health",11
"S128","romantic2","Human","Romantic",5,2,2,3,NA,-80
"S128","trivial1","Human","Trivial",5,3,5,4,NA,-37
"S128","trivial2","AI","Trivial",5,1,2,3,NA,-63
"S093","mental1","Human","Mental",3,3,2,2,NA,-31
"S093","mental2","AI","Mental",3,4,4,4,"Everyday / Trivial",-32
"S093","romantic1","AI","Romantic",2,2,1,1,NA,-81
"S093","romantic2","Human","Romantic",3,4,2,3,NA,38
"S093","trivial1","AI","Trivial",2,2,1,2,"Romantic",-79
"S093","trivial2","Human","Trivial",4,3,4,4,NA,45
"S113","mental1","Human","Mental",4,4,5,4,"Mental Health",-100
"S113","mental2","AI","Mental",5,5,5,3,NA,-100
"S113","romantic1","Human","Romantic",4,4,4,3,"Mental Health",49
"S113","romantic2","AI","Romantic",4,5,5,3,NA,-100
"S113","trivial1","Human","Trivial",5,6,6,4,NA,-100
"S113","trivial2","AI","Trivial",3,5,4,4,NA,-72
"S016","mental1","AI","Mental",1,1,1,1,NA,-98
"S016","mental2","Human","Mental",5,5,5,5,"Mental Health",-74
"S016","romantic1","AI","Romantic",4,5,5,4,NA,-74
"S016","romantic2","Human","Romantic",1,1,1,1,NA,-84
"S016","trivial1","AI","Trivial",4,5,5,4,"Everyday / Trivial",-100
"S016","trivial2","Human","Trivial",5,6,5,5,NA,62
"S108","mental1","Human","Mental",3,1,3,2,NA,-100
"S108","mental2","AI","Mental",1,1,1,1,NA,100
"S108","romantic1","AI","Romantic",1,1,1,1,NA,-100
"S108","romantic2","Human","Romantic",5,5,2,2,"Mental Health",-100
"S108","trivial1","Human","Trivial",4,1,3,1,NA,-100
"S108","trivial2","AI","Trivial",2,1,1,1,"Romantic",100
"S099","mental1","Human","Mental",5,5,6,6,"Everyday / Trivial",50
"S099","mental2","AI","Mental",5,5,5,5,"I don't remember",-63
"S099","romantic1","Human","Romantic",5,5,5,5,NA,51
"S099","romantic2","AI","Romantic",5,5,5,5,NA,-63
"S099","trivial1","AI","Trivial",5,5,5,5,NA,-68
"S099","trivial2","Human","Trivial",5,3,5,5,NA,-46
"S034","mental1","AI","Mental",3,4,4,3,NA,-30
"S034","mental2","Human","Mental",5,5,5,5,NA,50
"S034","romantic1","Human","Romantic",6,6,4,6,NA,40
"S034","romantic2","AI","Romantic",3,4,3,4,NA,-70
"S034","trivial1","Human","Trivial",4,5,2,2,"Romantic",-15
"S034","trivial2","AI","Trivial",4,3,3,4,"Everyday / Trivial",-70
"S127","mental1","Human","Mental",3,4,7,4,"Romantic",-100
"S127","mental2","AI","Mental",7,2,7,7,NA,-100
"S127","romantic1","AI","Romantic",7,2,7,7,NA,100
"S127","romantic2","Human","Romantic",4,5,7,5,"Romantic",-100
"S127","trivial1","AI","Trivial",4,4,7,4,NA,-100
"S127","trivial2","Human","Trivial",7,7,7,7,NA,100
"S088","mental1","AI","Mental",7,7,4,4,"Romantic",9
"S088","mental2","Human","Mental",5,4,3,2,NA,-39
"S088","romantic1","Human","Romantic",1,1,1,1,NA,100
"S088","romantic2","AI","Romantic",2,2,2,2,NA,-100
"S088","trivial1","AI","Trivial",6,5,5,1,NA,-100
"S088","trivial2","Human","Trivial",3,3,3,3,"Everyday / Trivial",-100
"S046","mental1","AI","Mental",3,2,2,1,NA,-49
"S046","mental2","Human","Mental",3,3,4,3,NA,30
"S046","romantic1","Human","Romantic",2,2,2,2,"Romantic",100
"S046","romantic2","AI","Romantic",4,5,4,4,NA,-100
"S046","trivial1","Human","Trivial",3,2,3,2,NA,-49
"S046","trivial2","AI","Trivial",5,6,6,4,"Romantic",-100
"S001","mental1","AI","Mental",3,3,3,3,NA,-8
"S001","mental2","Human","Mental",2,1,2,1,"Everyday / Trivial",-100
"S001","romantic1","Human","Romantic",2,2,1,1,NA,71
"S001","romantic2","AI","Romantic",4,5,3,4,NA,-100
"S001","trivial1","AI","Trivial",2,1,1,1,NA,-100
"S001","trivial2","Human","Trivial",1,1,1,1,"Everyday / Trivial",100
"S075","mental1","AI","Mental",3,3,5,2,NA,-59
"S075","mental2","Human","Mental",2,2,3,2,NA,29
"S075","romantic1","AI","Romantic",3,2,1,1,NA,-47
"S075","romantic2","Human","Romantic",2,1,2,2,"Romantic",-51
"S075","trivial1","Human","Trivial",5,4,4,3,NA,-53
"S075","trivial2","AI","Trivial",2,1,2,1,"Everyday / Trivial",36
"S112","mental1","Human","Mental",4,3,4,3,"Mental Health",-54
"S112","mental2","AI","Mental",4,3,3,3,NA,28
"S112","romantic1","Human","Romantic",5,6,5,4,NA,52
"S112","romantic2","AI","Romantic",5,5,5,5,NA,-54
"S112","trivial1","AI","Trivial",5,4,3,3,"Mental Health",-46
"S112","trivial2","Human","Trivial",5,5,6,5,NA,32
"S083","mental1","Human","Mental",3,2,1,1,NA,-29
"S083","mental2","AI","Mental",6,7,7,2,NA,-28
"S083","romantic1","AI","Romantic",6,6,7,3,NA,-33
"S083","romantic2","Human","Romantic",6,6,5,6,"Mental Health",14
"S083","trivial1","Human","Trivial",6,6,6,5,"Romantic",-27
"S083","trivial2","AI","Trivial",7,6,6,1,NA,9
"S010","mental1","AI","Mental",2,1,1,1,NA,33
"S010","mental2","Human","Mental",2,1,2,2,NA,-42
"S010","romantic1","AI","Romantic",4,4,5,5,NA,12
"S010","romantic2","Human","Romantic",3,2,1,1,NA,-62
"S010","trivial1","Human","Trivial",2,2,2,1,"Mental Health",-97
"S010","trivial2","AI","Trivial",2,2,3,1,"Romantic",-94
"S017","mental1","Human","Mental",3,3,4,3,NA,30
"S017","mental2","AI","Mental",2,2,3,3,"Romantic",-94
"S017","romantic1","Human","Romantic",3,2,3,3,"Mental Health",43
"S017","romantic2","AI","Romantic",4,3,4,3,NA,-74
"S017","trivial1","Human","Trivial",2,2,1,1,NA,-70
"S017","trivial2","AI","Trivial",3,5,4,3,NA,-100
"S043","mental1","AI","Mental",1,2,1,1,NA,-100
"S043","mental2","Human","Mental",3,2,1,3,"Mental Health",-100
"S043","romantic1","Human","Romantic",2,2,6,3,NA,100
"S043","romantic2","AI","Romantic",1,2,1,1,"Mental Health",-100
"S043","trivial1","Human","Trivial",5,4,6,5,NA,100
"S043","trivial2","AI","Trivial",1,4,3,1,NA,-100
"S091","mental1","Human","Mental",1,1,1,1,"Mental Health",-100
"S091","mental2","AI","Mental",4,1,1,1,NA,-100
"S091","romantic1","AI","Romantic",1,1,1,1,NA,-100
"S091","romantic2","Human","Romantic",6,6,6,5,NA,-100
"S091","trivial1","Human","Trivial",1,1,1,1,"Mental Health",-74
"S091","trivial2","AI","Trivial",6,5,4,2,NA,-54
"S045","mental1","AI","Mental",1,2,1,1,NA,31
"S045","mental2","Human","Mental",3,1,3,1,NA,22
"S045","romantic1","Human","Romantic",1,2,1,1,NA,62
"S045","romantic2","AI","Romantic",6,6,5,6,"Mental Health",-95
"S045","trivial1","AI","Trivial",3,5,2,3,NA,-65
"S045","trivial2","Human","Trivial",3,3,1,2,"Everyday / Trivial",-10
"S074","mental1","Human","Mental",6,4,4,4,NA,19
"S074","mental2","AI","Mental",6,5,3,2,NA,-75
"S074","romantic1","AI","Romantic",5,5,4,4,NA,-77
"S074","romantic2","Human","Romantic",6,5,6,5,"Everyday / Trivial",39
"S074","trivial1","AI","Trivial",6,4,3,2,"Mental Health",-48
"S074","trivial2","Human","Trivial",5,5,3,2,NA,63
"S008","mental1","Human","Mental",5,6,2,5,NA,-90
"S008","mental2","AI","Mental",4,6,5,5,NA,-30
"S008","romantic1","Human","Romantic",4,4,2,3,"Romantic",40
"S008","romantic2","AI","Romantic",2,3,3,2,"Mental Health",-70
"S008","trivial1","Human","Trivial",6,6,6,6,NA,-50
"S008","trivial2","AI","Trivial",2,2,2,1,NA,-76
"S025","mental1","AI","Mental",5,5,6,5,"Mental Health",-90
"S025","mental2","Human","Mental",6,6,6,6,NA,-92
"S025","romantic1","AI","Romantic",2,2,1,1,NA,86
"S025","romantic2","Human","Romantic",6,5,5,5,NA,85
"S025","trivial1","Human","Trivial",5,4,5,5,"Romantic",-95
"S025","trivial2","AI","Trivial",5,3,5,4,NA,92
"S120","mental1","AI","Mental",5,4,6,4,"Everyday / Trivial",-100
"S120","mental2","Human","Mental",5,4,6,6,"Mental Health",-98
"S120","romantic1","Human","Romantic",5,4,5,5,NA,-100
"S120","romantic2","AI","Romantic",5,5,6,5,NA,-100
"S120","trivial1","Human","Trivial",4,2,1,4,NA,-100
"S120","trivial2","AI","Trivial",4,2,1,4,NA,-100
"S055","mental1","AI","Mental",2,1,2,2,"Mental Health",-100
"S055","mental2","Human","Mental",4,1,1,3,NA,-74
"S055","romantic1","Human","Romantic",1,3,1,1,NA,-37
"S055","romantic2","AI","Romantic",4,1,1,2,NA,-100
"S055","trivial1","Human","Trivial",2,1,1,3,"Mental Health",-74
"S055","trivial2","AI","Trivial",1,1,1,1,NA,-100
"S056","mental1","AI","Mental",3,3,4,1,NA,-100
"S056","mental2","Human","Mental",2,3,3,1,"Mental Health",56
"S056","romantic1","AI","Romantic",4,2,2,1,"Mental Health",75
"S056","romantic2","Human","Romantic",3,1,3,1,NA,30
"S056","trivial1","Human","Trivial",5,3,5,1,NA,-35
"S056","trivial2","AI","Trivial",2,5,4,3,NA,-90
"S057","mental1","Human","Mental",2,3,1,2,"Romantic",32
"S057","mental2","AI","Mental",5,2,4,2,NA,51
"S057","romantic1","AI","Romantic",2,1,4,1,NA,21
"S057","romantic2","Human","Romantic",2,1,1,1,NA,-73
"S057","trivial1","Human","Trivial",1,1,1,1,"Mental Health",-90
"S057","trivial2","AI","Trivial",3,1,1,1,NA,-100
"S027","mental1","Human","Mental",2,1,2,1,NA,68
"S027","mental2","AI","Mental",1,1,1,1,"Romantic",25
"S027","romantic1","Human","Romantic",2,1,1,1,"Romantic",33
"S027","romantic2","AI","Romantic",2,1,1,1,NA,-41
"S027","trivial1","Human","Trivial",4,2,3,1,NA,-50
"S027","trivial2","AI","Trivial",1,1,2,1,NA,-60
"S082","mental1","AI","Mental",7,6,1,3,NA,-100
"S082","mental2","Human","Mental",5,5,4,4,"Romantic",100
"S082","romantic1","Human","Romantic",7,7,7,5,"Romantic",-100
"S082","romantic2","AI","Romantic",7,7,5,6,NA,-96
"S082","trivial1","AI","Trivial",7,7,1,4,NA,-100
"S082","trivial2","Human","Trivial",7,7,7,6,NA,100
"S012","mental1","AI","Mental",4,4,4,2,NA,42
"S012","mental2","Human","Mental",1,1,2,2,"Romantic",-24
"S012","romantic1","AI","Romantic",5,6,3,4,NA,18
"S012","romantic2","Human","Romantic",1,7,4,1,"Everyday / Trivial",30
"S012","trivial1","Human","Trivial",2,4,3,1,NA,-56
"S012","trivial2","AI","Trivial",2,4,3,2,NA,16
"S044","mental1","AI","Mental",3,2,5,3,NA,-100
"S044","mental2","Human","Mental",3,3,3,3,"Romantic",42
"S044","romantic1","Human","Romantic",4,2,4,3,NA,22
"S044","romantic2","AI","Romantic",5,4,6,5,"Mental Health",-100
"S044","trivial1","Human","Trivial",4,2,3,2,NA,-100
"S044","trivial2","AI","Trivial",5,3,3,3,NA,-100
"S030","mental1","AI","Mental",5,1,1,1,NA,15
"S030","mental2","Human","Mental",1,2,1,1,NA,-100
"S030","romantic1","Human","Romantic",4,1,3,1,"Everyday / Trivial",20
"S030","romantic2","AI","Romantic",1,1,1,1,"Mental Health",-47
"S030","trivial1","Human","Trivial",1,1,1,1,NA,-100
"S030","trivial2","AI","Trivial",7,7,7,7,NA,90
"S132","mental1","Human","Mental",1,1,1,1,"Mental Health",-100
"S132","mental2","AI","Mental",1,1,1,1,NA,-100
"S132","romantic1","AI","Romantic",1,1,1,1,NA,-100
"S132","romantic2","Human","Romantic",2,1,2,1,NA,-100
"S132","trivial1","AI","Trivial",1,1,1,1,NA,-100
"S132","trivial2","Human","Trivial",1,1,1,1,"Mental Health",-100
"S019","mental1","AI","Mental",4,4,4,4,NA,100
"S019","mental2","Human","Mental",5,5,5,5,"Mental Health",-100
"S019","romantic1","Human","Romantic",5,5,5,5,NA,-100
"S019","romantic2","AI","Romantic",5,5,6,4,NA,100
"S019","trivial1","AI","Trivial",4,4,5,4,"I don't remember",-100
"S019","trivial2","Human","Trivial",4,4,5,4,NA,100
"S071","mental1","Human","Mental",4,4,5,4,NA,-33
"S071","mental2","AI","Mental",1,1,1,1,"Mental Health",-73
"S071","romantic1","AI","Romantic",4,3,3,2,NA,28
"S071","romantic2","Human","Romantic",1,1,1,1,NA,-100
"S071","trivial1","Human","Trivial",6,5,5,4,NA,-51
"S071","trivial2","AI","Trivial",4,4,5,4,"Romantic",-100
"S122","mental1","Human","Mental",1,1,1,1,NA,17
"S122","mental2","AI","Mental",1,1,3,4,NA,-79
"S122","romantic1","AI","Romantic",4,2,2,3,"Romantic",21
"S122","romantic2","Human","Romantic",1,1,2,2,NA,-100
"S122","trivial1","Human","Trivial",2,1,1,2,"Mental Health",-100
"S122","trivial2","AI","Trivial",3,3,2,1,NA,33
"S003","mental1","AI","Mental",7,7,7,6,"Romantic",-95
"S003","mental2","Human","Mental",5,1,2,1,NA,-100
"S003","romantic1","AI","Romantic",1,1,1,1,NA,100
"S003","romantic2","Human","Romantic",2,1,1,1,NA,-100
"S003","trivial1","Human","Trivial",6,6,2,6,"Mental Health",-97
"S003","trivial2","AI","Trivial",3,5,2,2,NA,63
"S029","mental1","AI","Mental",3,3,4,2,NA,-100
"S029","mental2","Human","Mental",1,1,2,1,NA,-100
"S029","romantic1","Human","Romantic",1,1,1,1,"Romantic",-100
"S029","romantic2","AI","Romantic",1,1,1,1,NA,-100
"S029","trivial1","Human","Trivial",2,1,1,1,"Mental Health",-100
"S029","trivial2","AI","Trivial",1,1,1,1,NA,-100
"S053","mental1","AI","Mental",4,2,4,2,"Mental Health",-76
"S053","mental2","Human","Mental",4,5,5,4,NA,-100
"S053","romantic1","Human","Romantic",3,4,3,3,"Romantic",80
"S053","romantic2","AI","Romantic",4,6,6,4,NA,-95
"S053","trivial1","AI","Trivial",6,7,6,5,NA,-95
"S053","trivial2","Human","Trivial",3,4,3,3,NA,74
"S039","mental1","AI","Mental",2,1,1,1,"I don't remember",-63
"S039","mental2","Human","Mental",3,3,4,2,NA,36
"S039","romantic1","AI","Romantic",4,5,4,5,NA,-41
"S039","romantic2","Human","Romantic",6,6,2,3,NA,-62
"S039","trivial1","AI","Trivial",2,2,2,2,"Mental Health",29
"S039","trivial2","Human","Trivial",5,2,1,5,NA,-75
"S022","mental1","Human","Mental",3,2,1,2,NA,-76
"S022","mental2","AI","Mental",2,2,1,1,"Romantic",-73
"S022","romantic1","Human","Romantic",3,2,1,2,NA,-100
"S022","romantic2","AI","Romantic",6,2,7,2,NA,50
"S022","trivial1","AI","Trivial",5,2,4,2,NA,-100
"S022","trivial2","Human","Trivial",2,2,1,1,"Mental Health",100
"S058","mental1","AI","Mental",1,5,5,1,NA,-100
"S058","mental2","Human","Mental",6,6,5,6,NA,59
"S058","romantic1","AI","Romantic",2,2,2,1,"Romantic",-100
"S058","romantic2","Human","Romantic",4,4,4,2,NA,-40
"S058","trivial1","Human","Trivial",6,6,6,6,NA,-93
"S058","trivial2","AI","Trivial",7,7,6,7,"Mental Health",-97
"S073","mental1","AI","Mental",4,2,6,2,NA,-72
"S073","mental2","Human","Mental",3,2,5,4,NA,-71
"S073","romantic1","AI","Romantic",5,6,5,5,"Everyday / Trivial",24
"S073","romantic2","Human","Romantic",3,3,4,3,NA,-45
"S073","trivial1","AI","Trivial",3,3,5,3,"Mental Health",-32
"S073","trivial2","Human","Trivial",4,5,5,4,NA,36
"S101","mental1","AI","Mental",4,5,5,6,"Everyday / Trivial",57
"S101","mental2","Human","Mental",4,5,1,2,NA,-24
"S101","romantic1","Human","Romantic",3,5,3,4,NA,-78
"S101","romantic2","AI","Romantic",2,2,1,1,NA,-45
"S101","trivial1","Human","Trivial",4,3,3,5,NA,9
"S101","trivial2","AI","Trivial",3,3,3,3,"Everyday / Trivial",-61
"S129","mental1","Human","Mental",5,4,3,4,"Mental Health",100
"S129","mental2","AI","Mental",4,5,2,5,NA,-55
"S129","romantic1","AI","Romantic",4,4,6,4,NA,-100
"S129","romantic2","Human","Romantic",6,2,2,4,NA,-88
"S129","trivial1","Human","Trivial",5,5,4,6,"Romantic",-100
"S129","trivial2","AI","Trivial",3,2,1,1,NA,-75
"S032","mental1","AI","Mental",2,1,2,2,NA,-34
"S032","mental2","Human","Mental",3,4,1,3,"Mental Health",-44
"S032","romantic1","Human","Romantic",3,4,5,4,NA,31
"S032","romantic2","AI","Romantic",2,2,2,1,NA,-4
"S032","trivial1","Human","Trivial",6,5,5,6,NA,-100
"S032","trivial2","AI","Trivial",1,2,2,2,"Everyday / Trivial",-45
"S041","mental1","AI","Mental",1,1,1,1,NA,-100
"S041","mental2","Human","Mental",1,1,1,1,"Romantic",-100
"S041","romantic1","AI","Romantic",1,1,1,1,NA,-100
"S041","romantic2","Human","Romantic",1,1,1,1,NA,-100
"S041","trivial1","AI","Trivial",1,1,1,1,"I don't remember",-100
"S041","trivial2","Human","Trivial",3,1,1,1,NA,-100
"S023","mental1","AI","Mental",6,6,5,4,"Mental Health",-67
"S023","mental2","Human","Mental",1,6,1,1,NA,-60
"S023","romantic1","AI","Romantic",3,3,1,1,NA,-20
"S023","romantic2","Human","Romantic",5,4,1,4,"Mental Health",17
"S023","trivial1","AI","Trivial",6,7,6,5,NA,66
"S023","trivial2","Human","Trivial",4,6,6,3,NA,68
"S102","mental1","Human","Mental",1,1,5,2,NA,-20
"S102","mental2","AI","Mental",5,7,4,5,NA,-61
"S102","romantic1","Human","Romantic",1,1,1,1,"Romantic",67
"S102","romantic2","AI","Romantic",5,6,5,3,NA,-51
"S102","trivial1","Human","Trivial",3,2,1,1,"Everyday / Trivial",-4
"S102","trivial2","AI","Trivial",3,2,5,5,NA,-96
"S018","mental1","AI","Mental",3,4,3,2,"Everyday / Trivial",34
"S018","mental2","Human","Mental",3,4,2,5,NA,43
"S018","romantic1","AI","Romantic",4,6,5,4,NA,-51
"S018","romantic2","Human","Romantic",5,3,3,5,NA,-38
"S018","trivial1","Human","Trivial",2,5,2,2,NA,-59
"S018","trivial2","AI","Trivial",3,5,4,3,"Everyday / Trivial",-59
"S137","mental1","AI","Mental",5,2,5,4,NA,-79
"S137","mental2","Human","Mental",3,2,5,4,NA,-10
"S137","romantic1","Human","Romantic",4,1,4,3,NA,55
"S137","romantic2","AI","Romantic",4,4,3,4,"Mental Health",-62
"S137","trivial1","Human","Trivial",4,4,6,4,NA,-90
"S137","trivial2","AI","Trivial",4,1,3,3,"Everyday / Trivial",-95
"S110","mental1","AI","Mental",2,3,2,1,NA,-98
"S110","mental2","Human","Mental",2,2,2,2,"Romantic",97
"S110","romantic1","Human","Romantic",4,3,2,4,"Everyday / Trivial",93
"S110","romantic2","AI","Romantic",2,2,2,2,NA,-100
"S110","trivial1","Human","Trivial",2,2,2,2,NA,-99
"S110","trivial2","AI","Trivial",3,2,3,3,NA,-98
"S097","mental1","Human","Mental",2,2,4,3,NA,-11
"S097","mental2","AI","Mental",4,4,4,4,NA,-61
"S097","romantic1","AI","Romantic",4,3,4,3,NA,-15
"S097","romantic2","Human","Romantic",4,4,4,4,NA,-34
"S097","trivial1","Human","Trivial",4,3,4,3,"Mental Health",-43
"S097","trivial2","AI","Trivial",3,1,3,2,"Romantic",-57
"S014","mental1","Human","Mental",7,6,6,6,"Mental Health",61
"S014","mental2","AI","Mental",6,6,6,7,"Mental Health",-71
"S014","romantic1","Human","Romantic",4,6,6,4,NA,-61
"S014","romantic2","AI","Romantic",7,5,6,6,NA,-76
"S014","trivial1","AI","Trivial",6,5,5,5,NA,94
"S014","trivial2","Human","Trivial",6,6,6,5,NA,-76
"S098","mental1","Human","Mental",3,1,6,3,"Everyday / Trivial",30
"S098","mental2","AI","Mental",2,2,7,2,"Mental Health",-50
"S098","romantic1","AI","Romantic",2,2,5,2,NA,-80
"S098","romantic2","Human","Romantic",4,4,6,2,NA,-60
"S098","trivial1","Human","Trivial",3,2,6,3,NA,40
"S098","trivial2","AI","Trivial",2,2,4,2,NA,40
"S126","mental1","AI","Mental",3,2,5,3,NA,-81
"S126","mental2","Human","Mental",4,1,6,3,"Everyday / Trivial",50
"S126","romantic1","Human","Romantic",4,2,1,5,NA,90
"S126","romantic2","AI","Romantic",2,1,3,2,NA,-20
"S126","trivial1","Human","Trivial",3,3,2,3,"Romantic",40
"S126","trivial2","AI","Trivial",5,5,4,5,NA,-95
"S042","mental1","Human","Mental",3,5,6,3,NA,81
"S042","mental2","AI","Mental",2,1,7,2,"Everyday / Trivial",-100
"S042","romantic1","AI","Romantic",1,1,2,1,NA,-100
"S042","romantic2","Human","Romantic",2,2,1,2,NA,87
"S042","trivial1","Human","Trivial",1,1,1,1,NA,-71
"S042","trivial2","AI","Trivial",1,1,7,1,"Everyday / Trivial",-100
"S135","mental1","AI","Mental",4,3,7,1,NA,100
"S135","mental2","Human","Mental",1,1,5,1,NA,-100
"S135","romantic1","Human","Romantic",1,1,1,1,NA,-100
"S135","romantic2","AI","Romantic",7,7,7,7,"Mental Health",-100
"S135","trivial1","Human","Trivial",1,1,1,1,NA,100
"S135","trivial2","AI","Trivial",4,6,6,4,"Mental Health",-100
"S024","mental1","AI","Mental",2,5,4,5,NA,-58
"S024","mental2","Human","Mental",3,5,6,3,"Mental Health",-57
"S024","romantic1","AI","Romantic",3,5,4,3,NA,63
"S024","romantic2","Human","Romantic",3,5,2,4,NA,58
"S024","trivial1","Human","Trivial",3,6,4,4,"Romantic",-60
"S024","trivial2","AI","Trivial",3,6,4,5,NA,-63
"S002","mental1","Human","Mental",5,4,6,5,NA,75
"S002","mental2","AI","Mental",6,5,5,5,NA,-75
"S002","romantic1","AI","Romantic",6,6,5,6,NA,75
"S002","romantic2","Human","Romantic",3,5,3,2,"Romantic",50
"S002","trivial1","AI","Trivial",5,6,2,5,"Mental Health",-75
"S002","trivial2","Human","Trivial",6,6,6,6,NA,50
"S106","mental1","Human","Mental",7,7,6,7,NA,-68
"S106","mental2","AI","Mental",4,5,1,1,NA,-55
"S106","romantic1","Human","Romantic",1,1,1,1,"Romantic",-99
"S106","romantic2","AI","Romantic",7,5,7,7,"Everyday / Trivial",100
"S106","trivial1","AI","Trivial",2,2,1,1,NA,56
"S106","trivial2","Human","Trivial",7,7,4,6,NA,90
"S065","mental1","AI","Mental",4,3,3,3,NA,50
"S065","mental2","Human","Mental",1,2,1,1,"Mental Health",70
"S065","romantic1","Human","Romantic",5,5,4,4,NA,-50
"S065","romantic2","AI","Romantic",5,5,4,4,"Mental Health",20
"S065","trivial1","Human","Trivial",5,6,7,5,NA,-20
"S065","trivial2","AI","Trivial",5,6,7,5,NA,80
"S133","mental1","Human","Mental",1,1,2,2,NA,-55
"S133","mental2","AI","Mental",1,1,1,1,"Romantic",-61
"S133","romantic1","AI","Romantic",1,1,1,1,NA,-71
"S133","romantic2","Human","Romantic",3,1,1,2,"Romantic",-42
"S133","trivial1","AI","Trivial",1,1,1,1,NA,-100
"S133","trivial2","Human","Trivial",5,4,4,4,NA,12
"S060","mental1","Human","Mental",2,2,2,2,NA,12
"S060","mental2","AI","Mental",2,2,2,2,NA,-52
"S060","romantic1","AI","Romantic",2,3,3,2,"Mental Health",-100
"S060","romantic2","Human","Romantic",3,2,2,1,NA,-30
"S060","trivial1","Human","Trivial",2,2,3,3,"Romantic",-75
"S060","trivial2","AI","Trivial",3,2,2,2,NA,-77
